latitude,longitude,name,color
33.9649122835,-81.0362963542,,#FFF00
33.9649653836,-81.036447162,,#FFF00
33.9651246837,-81.0364902499,,#FFF00
33.9651954838,-81.0365117939,,#FFF00
33.965390184,-81.0365979697,,#FFF00
33.9655848842,-81.0366841456,,#FFF00
33.9657972844,-81.0367487774,,#FFF00
33.9659742845,-81.0368349533,,#FFF00
33.9661866847,-81.0368995852,,#FFF00
33.9663990849,-81.0370503929,,#FFF00
33.9666114851,-81.0370934809,,#FFF00
33.9671247856,-81.0371150248,,#FFF00
33.967461086,-81.0372442886,,#FFF00
33.9681336866,-81.0376751679,,#FFF00
33.9683283868,-81.0378044316,,#FFF00
33.9686823871,-81.0381060471,,#FFF00
33.9689124873,-81.0382999428,,#FFF00
33.9690717875,-81.0384722945,,#FFF00
33.9692664877,-81.0386231022,,#FFF00
33.9694080878,-81.038752366,,#FFF00
33.969602788,-81.0389247177,,#FFF00
33.9697797882,-81.0390970694,,#FFF00
33.9699921884,-81.0392694211,,#FFF00
33.9701337885,-81.0393986849,,#FFF00
33.9703107887,-81.0395925806,,#FFF00
33.9703992888,-81.0396572125,,#FFF00
33.9702222886,-81.0399803719,,#FFF00
33.9701160885,-81.0398726521,,#FFF00
33.9699567883,-81.0397218443,,#FFF00
33.9697974882,-81.0395710366,,#FFF00
33.969602788,-81.0394202289,,#FFF00
33.9694080878,-81.0392478772,,#FFF00
33.9692310876,-81.0390755255,,#FFF00
33.9690717875,-81.0389462617,,#FFF00
33.9688947873,-81.0387954539,,#FFF00
33.9687177872,-81.0386231022,,#FFF00
33.9684876869,-81.0384507505,,#FFF00
33.9681690866,-81.038170679,,#FFF00
33.9679920865,-81.0380414152,,#FFF00
33.9674256859,-81.0376751679,,#FFF00
33.9669654855,-81.0374597282,,#FFF00
33.9665406851,-81.0373950963,,#FFF00
33.9663105849,-81.0373304644,,#FFF00
33.9660981847,-81.0371796567,,#FFF00
33.9659034845,-81.0371150248,,#FFF00
33.9657264843,-81.037028849,,#FFF00
33.9654963841,-81.0369642171,,#FFF00
33.9653016839,-81.0368995852,,#FFF00
33.9651423837,-81.0368134093,,#FFF00
33.9650361836,-81.0367703214,,#FFF00
33.9649122835,-81.0367487774,,#FFF00
33.9648237834,-81.0364902499,,#FFF00
33.9647352834,-81.0366626016,,#FFF00
33.9648768835,-81.0370503929,,#FFF00
33.9649299835,-81.0370503929,,#FFF00
33.9650715837,-81.0371150248,,#FFF00
33.9652308838,-81.0371796567,,#FFF00
33.965425584,-81.0372658326,,#FFF00
33.9656379842,-81.0373304644,,#FFF00
33.9658326844,-81.0374166403,,#FFF00
33.9660096846,-81.0374597282,,#FFF00
33.9662220848,-81.037610536,,#FFF00
33.966469885,-81.0376967118,,#FFF00
33.9668238854,-81.0377828877,,#FFF00
33.9673902859,-81.0381060471,,#FFF00
33.9678327863,-81.0384076626,,#FFF00
33.9680097865,-81.0385153824,,#FFF00
33.9682929868,-81.03877391,,#FFF00
33.968523087,-81.0389678056,,#FFF00
33.9687177872,-81.0391401573,,#FFF00
33.9688770873,-81.0392694211,,#FFF00
33.9690540875,-81.0394202289,,#FFF00
33.9692133876,-81.0395494926,,#FFF00
33.9694080878,-81.0397433883,,#FFF00
33.969602788,-81.039894196,,#FFF00
33.9697797882,-81.0400450038,,#FFF00
33.9699213883,-81.0401742676,,#FFF00
33.9700629884,-81.0402819874,,#FFF00
33.9698859883,-81.0406051468,,#FFF00
33.9697266881,-81.0404543391,,#FFF00
33.969602788,-81.0403681632,,#FFF00
33.9694080878,-81.0401958115,,#FFF00
33.9692310876,-81.0400665478,,#FFF00
33.9690186874,-81.0398726521,,#FFF00
33.9688770873,-81.0397433883,,#FFF00
33.9686823871,-81.0395925806,,#FFF00
33.968540787,-81.0394633168,,#FFF00
33.9683283868,-81.0392909651,,#FFF00
33.9680982866,-81.0391186134,,#FFF00
33.9678504863,-81.0388816298,,#FFF00
33.9676911862,-81.03877391,,#FFF00
33.9673548859,-81.0385369264,,#FFF00
33.9666645852,-81.0381275911,,#FFF00
33.9663990849,-81.0379983273,,#FFF00
33.9661335847,-81.0378906075,,#FFF00
33.9659211845,-81.0377397997,,#FFF00
33.9657618843,-81.0376967118,,#FFF00
33.9655671842,-81.037610536,,#FFF00
33.9653370839,-81.0375459041,,#FFF00
33.9651423837,-81.0374812722,,#FFF00
33.9650184836,-81.0374166403,,#FFF00
33.9648414835,-81.0373304644,,#FFF00
33.9648237834,-81.0373520084,,#FFF00
33.9646467833,-81.0368564973,,#FFF00
